4754,Politics
1723,Action RTS
1671,Superhero
5708,Remake
7178,Party Game
7702,Narrative
14153,Dungeons &amp; Dragons
7782,Cult Classic
7107,Real-Time with Pause
4376,Assassin
17770,Asynchronous Multiplayer
8093,Minigames
1674,Typing
10383,Transportation
5179,Cold War
3934,Immersive
7108,Party
7478,Illuminati
1680,Heist
6310,Diplomacy
4994,Naval Combat
56690,On-Rails Shooter
13382,Archery
769306,Escape Room
5390,Time Attack
9803,Snow
10437,Trivia
1254546,Football (Soccer)
25085,Touch-Friendly
8253,Music-Based Procedural Generation
1091588,Roguelike Deckbuilder
13577,Sailing
776177,360 Video
1649,GameMaker
97376,Cozy
51306,Foreign
454187,Traditional Roguelike
7622,Offroad
552282,Wholesome
16250,Gambling
9994,Experience
5153,Kickstarter
11333,Villain Protagonist
6702,Mars
6041,Horses
5230,Sequel
4184,Chess
7423,Sniper
15339,Documentary
12190,Boxing
4137,Transhumanism
17015,Werewolves
14720,Nostalgia
5348,Mod
92092,Jet
71389,Spelling
7038,Golf
5382,World War I
1100688,Medical Sim
1100686,Outbreak Sim
198913,Motorbike
1736,LEGO
6948,Rome
4520,Farming
3965,Epic
1733,Unforgiving
4291,Spaceships
6621,Pinball
61357,Electronic Music
922563,Roguevania
8075,TrackIR
29855,Ambient
745697,Social Deduction
123332,Bikes
856791,Asymmetric VR
1746,Basketball
15954,Silent Protagonist
150626,Gaming
19780,Submarine
7113,Crowdfunded
5310,Games Workshop
1254552,Football (American)
12286,Warhammer 40K
22955,Mini Golf
3796,Based On A Novel
11634,Vikings
47827,Wrestling
1753,Skateboarding
5727,Baseball
17927,Pool
5914,Tennis
189941,Instrumental Music
17337,Lemmings
15868,Motocross
14906,Intentionally Awkward Controls
96359,Skating
19568,Cycling
324176,Hockey
7328,Bowling
11095,Boss Rush
337964,Rock Music
35079,Job Simulator
117648,8-bit Music
28444,Snowboarding
176733,Tile-Matching
7309,Skiing
33572,Mahjong
143739,Electronic
42089,Jump Scare
129761,ATV
27758,Voice Control
252854,BMX
233824,Feature Film
5407,Benchmark
603297,Hardware
